adaptor_index voice rate_parameter
16 A 1.0557639769987504
29 E 1.0079091559018178
33 H 0.8778833097339096
51 J 1.000694616852752
46 C 1.0428524909070924
70 C 1.0428524909070924
41 H 0.8778833097339096
1 H 0.8778833097339096
64 A 1.0557639769987504
59 J 1.000694616852752
6 C 1.0428524909070924
3 J 1.000694616852752
11 J 1.000694616852752
69 E 1.0079091559018178
56 A 1.0557639769987504
35 J 1.000694616852752
39 D 1.0303827053653258
30 C 1.0428524909070924
19 J 1.000694616852752
24 A 1.0557639769987504
8 A 1.0557639769987504
44 F 0.9611845597193018
67 J 1.000694616852752
21 E 1.0079091559018178
47 D 1.0303827053653258
4 F 0.9611845597193018
71 D 1.0303827053653258
42 I 0.9246910546412141
36 F 0.9611845597193018
9 H 0.8778833097339096
53 E 1.0079091559018178
49 H 0.8778833097339096
43 J 1.000694616852752
34 I 0.9246910546412141
27 J 1.000694616852752
61 E 1.0079091559018178
0 A 1.0557639769987504
13 E 1.0079091559018178
38 C 1.0428524909070924
31 D 1.0303827053653258
20 F 0.9611845597193018
5 E 1.0079091559018178
45 E 1.0079091559018178
10 I 0.9246910546412141
23 D 1.0303827053653258
15 D 1.0303827053653258
26 I 0.9246910546412141
52 F 0.9611845597193018
37 E 1.0079091559018178
50 I 0.9246910546412141
63 D 1.0303827053653258
60 F 0.9611845597193018
48 A 1.0557639769987504
55 D 1.0303827053653258
12 F 0.9611845597193018
66 I 0.9246910546412141
2 I 0.9246910546412141
18 I 0.9246910546412141
57 H 0.8778833097339096
28 F 0.9611845597193018
22 C 1.0428524909070924
14 C 1.0428524909070924
25 H 0.8778833097339096
7 D 1.0303827053653258
68 F 0.9611845597193018
62 C 1.0428524909070924
17 H 0.8778833097339096
58 I 0.9246910546412141
32 A 1.0557639769987504
54 C 1.0428524909070924
40 A 1.0557639769987504
65 H 0.8778833097339096
