adaptor_index voice rate_parameter
46 H 0.8778833097339096
13 J 1.000694616852752
6 H 0.8778833097339096
63 A 1.0557639769987504
33 C 1.0428524909070924
29 J 1.000694616852752
1 C 1.0428524909070924
12 E 1.0079091559018178
55 A 1.0557639769987504
21 J 1.000694616852752
70 H 0.8778833097339096
60 E 1.0079091559018178
37 J 1.000694616852752
41 C 1.0428524909070924
53 J 1.000694616852752
52 E 1.0079091559018178
45 J 1.000694616852752
8 F 0.9611845597193018
69 J 1.000694616852752
23 A 1.0557639769987504
48 F 0.9611845597193018
30 H 0.8778833097339096
15 A 1.0557639769987504
20 E 1.0079091559018178
61 J 1.000694616852752
9 C 1.0428524909070924
68 E 1.0079091559018178
49 C 1.0428524909070924
42 I 0.9246910546412141
5 J 1.000694616852752
35 D 1.0303827053653258
34 I 0.9246910546412141
7 A 1.0557639769987504
40 F 0.9611845597193018
0 F 0.9611845597193018
43 D 1.0303827053653258
32 F 0.9611845597193018
28 E 1.0079091559018178
38 H 0.8778833097339096
67 D 1.0303827053653258
64 F 0.9611845597193018
10 I 0.9246910546412141
39 A 1.0557639769987504
26 I 0.9246910546412141
16 F 0.9611845597193018
51 D 1.0303827053653258
50 I 0.9246910546412141
24 F 0.9611845597193018
27 D 1.0303827053653258
56 F 0.9611845597193018
11 D 1.0303827053653258
66 I 0.9246910546412141
2 I 0.9246910546412141
22 H 0.8778833097339096
18 I 0.9246910546412141
57 C 1.0428524909070924
59 D 1.0303827053653258
31 A 1.0557639769987504
14 H 0.8778833097339096
25 C 1.0428524909070924
36 E 1.0079091559018178
17 C 1.0428524909070924
47 A 1.0557639769987504
58 I 0.9246910546412141
62 H 0.8778833097339096
54 H 0.8778833097339096
71 A 1.0557639769987504
65 C 1.0428524909070924
4 E 1.0079091559018178
44 E 1.0079091559018178
19 D 1.0303827053653258
3 D 1.0303827053653258
