adaptor_index voice rate_parameter
1 J 1.000694616852752
18 E 1.0079091559018178
27 A 1.0557639769987504
38 I 0.9246910546412141
9 J 1.000694616852752
11 A 1.0557639769987504
67 A 1.0557639769987504
37 H 0.8778833097339096
58 E 1.0079091559018178
8 F 0.9611845597193018
48 F 0.9611845597193018
45 H 0.8778833097339096
5 H 0.8778833097339096
39 D 1.0303827053653258
51 A 1.0557639769987504
10 E 1.0079091559018178
44 C 1.0428524909070924
3 A 1.0557639769987504
30 I 0.9246910546412141
25 J 1.000694616852752
47 D 1.0303827053653258
33 J 1.000694616852752
71 D 1.0303827053653258
4 C 1.0428524909070924
17 J 1.000694616852752
36 C 1.0428524909070924
19 A 1.0557639769987504
26 E 1.0079091559018178
49 J 1.000694616852752
40 F 0.9611845597193018
0 F 0.9611845597193018
70 I 0.9246910546412141
50 E 1.0079091559018178
65 J 1.000694616852752
57 J 1.000694616852752
32 F 0.9611845597193018
66 E 1.0079091559018178
59 A 1.0557639769987504
46 I 0.9246910546412141
41 J 1.000694616852752
31 D 1.0303827053653258
20 C 1.0428524909070924
54 I 0.9246910546412141
64 F 0.9611845597193018
23 D 1.0303827053653258
15 D 1.0303827053653258
69 H 0.8778833097339096
52 C 1.0428524909070924
62 I 0.9246910546412141
2 E 1.0079091559018178
16 F 0.9611845597193018
42 E 1.0079091559018178
24 F 0.9611845597193018
63 D 1.0303827053653258
14 I 0.9246910546412141
34 E 1.0079091559018178
60 C 1.0428524909070924
56 F 0.9611845597193018
22 I 0.9246910546412141
55 D 1.0303827053653258
12 C 1.0428524909070924
29 H 0.8778833097339096
28 C 1.0428524909070924
13 H 0.8778833097339096
43 A 1.0557639769987504
61 H 0.8778833097339096
7 D 1.0303827053653258
53 H 0.8778833097339096
68 C 1.0428524909070924
6 I 0.9246910546412141
21 H 0.8778833097339096
35 A 1.0557639769987504
