adaptor_index voice rate_parameter
23 E 1.0079091559018178
52 A 1.0557639769987504
38 I 0.9246910546412141
20 A 1.0557639769987504
34 F 0.9611845597193018
15 E 1.0079091559018178
41 D 1.0303827053653258
37 H 0.8778833097339096
12 A 1.0557639769987504
2 F 0.9611845597193018
42 F 0.9611845597193018
63 E 1.0079091559018178
60 A 1.0557639769987504
33 D 1.0303827053653258
45 H 0.8778833097339096
5 H 0.8778833097339096
55 E 1.0079091559018178
3 C 1.0428524909070924
30 I 0.9246910546412141
43 C 1.0428524909070924
4 A 1.0557639769987504
28 A 1.0557639769987504
35 C 1.0428524909070924
49 D 1.0303827053653258
70 I 0.9246910546412141
46 I 0.9246910546412141
68 A 1.0557639769987504
54 I 0.9246910546412141
8 J 1.000694616852752
11 C 1.0428524909070924
0 J 1.000694616852752
58 F 0.9611845597193018
27 C 1.0428524909070924
69 H 0.8778833097339096
62 I 0.9246910546412141
51 C 1.0428524909070924
14 I 0.9246910546412141
22 I 0.9246910546412141
1 D 1.0303827053653258
39 E 1.0079091559018178
18 F 0.9611845597193018
29 H 0.8778833097339096
67 C 1.0428524909070924
47 E 1.0079091559018178
66 F 0.9611845597193018
16 J 1.000694616852752
7 E 1.0079091559018178
19 C 1.0428524909070924
36 A 1.0557639769987504
13 H 0.8778833097339096
65 D 1.0303827053653258
61 H 0.8778833097339096
17 D 1.0303827053653258
32 J 1.000694616852752
44 A 1.0557639769987504
50 F 0.9611845597193018
24 J 1.000694616852752
71 E 1.0079091559018178
25 D 1.0303827053653258
53 H 0.8778833097339096
40 J 1.000694616852752
56 J 1.000694616852752
6 I 0.9246910546412141
26 F 0.9611845597193018
59 C 1.0428524909070924
57 D 1.0303827053653258
21 H 0.8778833097339096
31 E 1.0079091559018178
48 J 1.000694616852752
10 F 0.9611845597193018
9 D 1.0303827053653258
64 J 1.000694616852752
