adaptor_index voice rate_parameter
39 H 0.8778833097339096
52 A 1.0557639769987504
20 A 1.0557639769987504
34 C 1.0428524909070924
35 I 0.9246910546412141
41 D 1.0303827053653258
12 A 1.0557639769987504
43 I 0.9246910546412141
42 C 1.0428524909070924
37 F 0.9611845597193018
60 A 1.0557639769987504
33 D 1.0303827053653258
5 F 0.9611845597193018
45 F 0.9611845597193018
2 C 1.0428524909070924
54 E 1.0079091559018178
31 H 0.8778833097339096
4 A 1.0557639769987504
62 E 1.0079091559018178
28 A 1.0557639769987504
14 E 1.0079091559018178
71 H 0.8778833097339096
49 D 1.0303827053653258
7 H 0.8778833097339096
47 H 0.8778833097339096
68 A 1.0557639769987504
22 E 1.0079091559018178
8 J 1.000694616852752
30 E 1.0079091559018178
55 H 0.8778833097339096
59 I 0.9246910546412141
0 J 1.000694616852752
58 C 1.0428524909070924
63 H 0.8778833097339096
69 F 0.9611845597193018
70 E 1.0079091559018178
15 H 0.8778833097339096
29 F 0.9611845597193018
1 D 1.0303827053653258
23 H 0.8778833097339096
18 C 1.0428524909070924
19 I 0.9246910546412141
46 E 1.0079091559018178
3 I 0.9246910546412141
6 E 1.0079091559018178
13 F 0.9611845597193018
16 J 1.000694616852752
66 C 1.0428524909070924
67 I 0.9246910546412141
38 E 1.0079091559018178
36 A 1.0557639769987504
65 D 1.0303827053653258
61 F 0.9611845597193018
17 D 1.0303827053653258
32 J 1.000694616852752
44 A 1.0557639769987504
50 C 1.0428524909070924
24 J 1.000694616852752
51 I 0.9246910546412141
25 D 1.0303827053653258
40 J 1.000694616852752
56 J 1.000694616852752
27 I 0.9246910546412141
26 C 1.0428524909070924
53 F 0.9611845597193018
57 D 1.0303827053653258
48 J 1.000694616852752
11 I 0.9246910546412141
10 C 1.0428524909070924
21 F 0.9611845597193018
9 D 1.0303827053653258
64 J 1.000694616852752
