adaptor_index voice rate_parameter
1 J 1.000694616852752
12 E 1.0079091559018178
9 J 1.000694616852752
34 F 0.9611845597193018
60 E 1.0079091559018178
35 I 0.9246910546412141
6 A 1.0557639769987504
2 F 0.9611845597193018
52 E 1.0079091559018178
48 H 0.8778833097339096
8 H 0.8778833097339096
43 I 0.9246910546412141
42 F 0.9611845597193018
5 C 1.0428524909070924
37 C 1.0428524909070924
39 D 1.0303827053653258
20 E 1.0079091559018178
45 C 1.0428524909070924
25 J 1.000694616852752
47 D 1.0303827053653258
33 J 1.000694616852752
14 A 1.0557639769987504
22 A 1.0557639769987504
68 E 1.0079091559018178
71 D 1.0303827053653258
17 J 1.000694616852752
49 J 1.000694616852752
54 A 1.0557639769987504
0 H 0.8778833097339096
40 H 0.8778833097339096
65 J 1.000694616852752
57 J 1.000694616852752
41 J 1.000694616852752
31 D 1.0303827053653258
28 E 1.0079091559018178
32 H 0.8778833097339096
62 A 1.0557639769987504
64 H 0.8778833097339096
23 D 1.0303827053653258
70 A 1.0557639769987504
59 I 0.9246910546412141
46 A 1.0557639769987504
58 F 0.9611845597193018
16 H 0.8778833097339096
15 D 1.0303827053653258
69 C 1.0428524909070924
30 A 1.0557639769987504
63 D 1.0303827053653258
24 H 0.8778833097339096
29 C 1.0428524909070924
55 D 1.0303827053653258
56 H 0.8778833097339096
18 F 0.9611845597193018
19 I 0.9246910546412141
3 I 0.9246910546412141
13 C 1.0428524909070924
66 F 0.9611845597193018
67 I 0.9246910546412141
61 C 1.0428524909070924
7 D 1.0303827053653258
50 F 0.9611845597193018
51 I 0.9246910546412141
36 E 1.0079091559018178
27 I 0.9246910546412141
26 F 0.9611845597193018
38 A 1.0557639769987504
53 C 1.0428524909070924
4 E 1.0079091559018178
11 I 0.9246910546412141
10 F 0.9611845597193018
44 E 1.0079091559018178
21 C 1.0428524909070924
