adaptor_index voice rate_parameter
6 F 0.9611845597193018
33 H 0.8778833097339096
47 J 1.000694616852752
58 A 1.0557639769987504
46 F 0.9611845597193018
12 E 1.0079091559018178
48 D 1.0303827053653258
70 F 0.9611845597193018
41 H 0.8778833097339096
63 J 1.000694616852752
1 H 0.8778833097339096
60 E 1.0079091559018178
35 I 0.9246910546412141
52 E 1.0079091559018178
18 A 1.0557639769987504
43 I 0.9246910546412141
5 C 1.0428524909070924
37 C 1.0428524909070924
23 J 1.000694616852752
20 E 1.0079091559018178
45 C 1.0428524909070924
2 A 1.0557639769987504
30 F 0.9611845597193018
71 J 1.000694616852752
50 A 1.0557639769987504
32 D 1.0303827053653258
68 E 1.0079091559018178
9 H 0.8778833097339096
49 H 0.8778833097339096
55 J 1.000694616852752
66 A 1.0557639769987504
40 D 1.0303827053653258
31 J 1.000694616852752
10 A 1.0557639769987504
39 J 1.000694616852752
38 F 0.9611845597193018
26 A 1.0557639769987504
28 E 1.0079091559018178
7 J 1.000694616852752
15 J 1.000694616852752
34 A 1.0557639769987504
8 D 1.0303827053653258
56 D 1.0303827053653258
59 I 0.9246910546412141
24 D 1.0303827053653258
69 C 1.0428524909070924
16 D 1.0303827053653258
29 C 1.0428524909070924
42 A 1.0557639769987504
64 D 1.0303827053653258
19 I 0.9246910546412141
3 I 0.9246910546412141
13 C 1.0428524909070924
67 I 0.9246910546412141
57 H 0.8778833097339096
0 D 1.0303827053653258
22 F 0.9611845597193018
14 F 0.9611845597193018
61 C 1.0428524909070924
25 H 0.8778833097339096
51 I 0.9246910546412141
62 F 0.9611845597193018
36 E 1.0079091559018178
27 I 0.9246910546412141
53 C 1.0428524909070924
17 H 0.8778833097339096
4 E 1.0079091559018178
11 I 0.9246910546412141
44 E 1.0079091559018178
21 C 1.0428524909070924
54 F 0.9611845597193018
65 H 0.8778833097339096
